DEPARTAMENTO,DIA
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
GUAVIARE,JUEVES
HUILA,JUEVES
HUILA,JUEVES
HUILA,JUEVES
HUILA,JUEVES
HUILA,JUEVES
HUILA,JUEVES
HUILA,JUEVES
MAGDALENA,JUEVES
MAGDALENA,JUEVES
MAGDALENA,JUEVES
MAGDALENA,JUEVES
META,JUEVES
META,JUEVES
META,JUEVES
META,JUEVES
META,JUEVES
META,JUEVES
META,JUEVES
META,JUEVES
META,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NARINHO,JUEVES
NORTE DE SANTANDER,JUEVES
NORTE DE SANTANDER,JUEVES
NORTE DE SANTANDER,JUEVES
NORTE DE SANTANDER,JUEVES
NORTE DE SANTANDER,JUEVES
NORTE DE SANTANDER,JUEVES
NORTE DE SANTANDER,JUEVES
PUTUMAYO,JUEVES
QUINDIO,JUEVES
QUINDIO,JUEVES
RISARALDA,JUEVES
RISARALDA,JUEVES
RISARALDA,JUEVES
RISARALDA,JUEVES
RISARALDA,JUEVES
RISARALDA,JUEVES
RISARALDA,JUEVES
RISARALDA,JUEVES
RISARALDA,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SANTANDER,JUEVES
SUCRE,JUEVES
SUCRE,JUEVES
SUCRE,JUEVES
SUCRE,JUEVES
SUCRE,JUEVES
SUCRE,JUEVES
SUCRE,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
TOLIMA,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
