BARRIO,SEXO
ENTRERIOS E-12,MASCULINO
QUIRIGUA I E-10,MASCULINO
"LA SOLEDAD, SAN JOSE NORTE E-10",MASCULINO
BOSQUES DE SAN JOSE E-18,FEMENINO
VILLA CLEMENCIA E-7,FEMENINO
EL RECREO E-7,MASCULINO
LAS MARGARITAS E-7,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
EL CARMEN,FEMENINO
EL CARMEN,FEMENINO
LA VICTORIA,MASCULINO
RAFAEL AZUERO MANCHOLA,FEMENINO
LUIS CARLOS GALAN ETAPA I,FEMENINO
ENRIQUE OLAYA HERRERA,MASCULINO
VILLA MELIDA,FEMENINO
RELIQUIA,FEMENINO
BARZAL BAJO,MASCULINO
DONHA LUZ,FEMENINO
REMANSO,MASCULINO
VILLA JULIA,FEMENINO
LLANO LINDO,MASCULINO
JORDAN,MASCULINO
ESTERO,FEMENINO
CAMINO REAL,FEMENINO
MACUNAIMA,FEMENINO
COMUNEROS,MASCULINO
ESTERO,MASCULINO
SANTANDER,MASCULINO
CENTRO,FEMENINO
GOLGOTA,MASCULINO
OBRERO,FEMENINO
20 DE JULIO,FEMENINO
LORENZO,FEMENINO
LORENZO,FEMENINO
MORASURCO,FEMENINO
SAN JUAN BOSCO,MASCULINO
CENTRO,MASCULINO
CENTRO,MASCULINO
CENTRO,FEMENINO
AV. CHAMPAGNAT,FEMENINO
CENTRO,MASCULINO
NIZA III,FEMENINO
ESTADIO LIBERTAD,MASCULINO
LORENZO,FEMENINO
PLAZA DEL CARNAVAL,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
CENTRO,FEMENINO
EL MORRO,FEMENINO
SAN JUAN,FEMENINO
BARRIO LOS PINOS,MASCULINO
BARRIO LA PLAYA,FEMENINO
BARRIO SAN JOSE,FEMENINO
BARRIO LA LIBERTAD,MASCULINO
BARRIO SIMON BOLIVAR,MASCULINO
BARRIO CENTRO,MASCULINO
PABLO VI,FEMENINO
CENTRO,FEMENINO
CIUDADELA UNIVERSITARIA,FEMENINO
PERPETUO SOCORRO,MASCULINO
SAN FERNANDO,MASCULINO
MIRAFLORES BAJO,MASCULINO
ZONA CENTRO,FEMENINO
PLAZOLETA LA VILLA,MASCULINO
LOS NARANJOS,MASCULINO
VILLAVICENCIO,FEMENINO
SECTOR AV 30 AGO ENTRE CL 37 Y 41,FEMENINO
SECTOR COMERCIAL,MASCULINO
SANTA ISABEL,FEMENINO
LA ESPERANZA,MASCULINO
JARDINES DE COAVICONSA,FEMENINO
NUEVO SOTOMAYOR,FEMENINO
SAN RAFAEL,MASCULINO
SAN FRANCISCO,FEMENINO
KENNEDY,MASCULINO
LA PAZ E2,MASCULINO
BUCARAMANGA,FEMENINO
LAGOS I,FEMENINO
HACIENDA SAN JUAN,MASCULINO
CONVIVIR,FEMENINO
CENTRO P/TA,FEMENINO
EL PROGRESO,FEMENINO
ESPANHA,MASCULINO
HACIENDA PIEDRAPINTADA,FEMENINO
EL CARMEN,FEMENINO
ESTACION,MASCULINO
CADIZ,FEMENINO
TOLIMA GRANDE,MASCULINO
JORDAN MUTIFAMILIARES,MASCULINO
SANTA RITA,FEMENINO
CENTRO,MASCULINO
VERSALLES E2,FEMENINO
CIUDAD CAPRI E17,FEMENINO
LOS LAGOS E13,MASCULINO
PRADOS DEL NORTE E2,FEMENINO
CGTO LA VORAGINE E22,MASCULINO
PRADOS DEL NORTE E2,FEMENINO
LOS LAGOS E13,FEMENINO
VALLE GRANDE E21,MASCULINO
VILLA DEL LAGO E13,FEMENINO
ALTAMIRA,FEMENINO
CENTRAL,FEMENINO
LAS FLORES,FEMENINO
CAMILO CORTEZ,FEMENINO
MARCELIANO CANYES,FEMENINO
EL CAUNZAL,MASCULINO
MANZANAREZ,FEMENINO
CIUDADELA DEL NORTE,FEMENINO
CIUDADELA DEL NORTE,FEMENINO
CIUDADELA DEL NORTE,FEMENINO
BRISAS DE URABA,FEMENINO
LA MINA,MASCULINO
SAN JOSE,FEMENINO
CENTRO,FEMENINO
TRIANA,FEMENINO
SANTA MARIA # 3,FEMENINO
EL DORADO,FEMENINO
SEVILLA  C-4,FEMENINO
LAURELES C-11,MASCULINO
JARDIN BOTANICO  C-4,FEMENINO
LOS CERROS EL VERGEL  C-9,FEMENINO
ASTORGA C-14,FEMENINO
LA FRANCIA  C-2,FEMENINO
PRADO C-10,FEMENINO
VILLANUEVA C-10,MASCULINO
LOS PINOS C-12,MASCULINO
ESTACION VILLA C-10,MASCULINO
CORDOBA C-7,FEMENINO
VILLANUEVA C-10,FEMENINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,FEMENINO
EL POBLADO C-14,FEMENINO
ROSALES C-16,MASCULINO
DON BOSCO,MASCULINO
SAN ROQUE,MASCULINO
EL RECREO,MASCULINO
CENTRO,FEMENINO
SILENCIO,FEMENINO
CENTRO,MASCULINO
REBOLO,MASCULINO
CIUDADELA 20 DE JULIO,FEMENINO
BARRIO BOYACA ALTO,MASCULINO
SANTANDER,MASCULINO
BARRIO CENTRO,MASCULINO
SEVILLA,FEMENINO
VILLA UNIVERSITARIA,MASCULINO
CENTRO,FEMENINO
VDA PURNIO,MASCULINO
SECTOR EL CABLE,FEMENINO
SECTOR EL CABLE,FEMENINO
CENTRO,MASCULINO
SECTOR BELLAS ARTES,MASCULINO
CENTRO,FEMENINO
SECTOR EL CABLE,MASCULINO
CENTRO,FEMENINO
CENTRO,FEMENINO
SECTOR EL CABLE,MASCULINO
