BARRIO,MOVILAGRESOR
CIUDADELA UNIVERSITARIA,A PIE
PERPETUO SOCORRO,VEHICULO
SAN FERNANDO,A PIE
MIRAFLORES BAJO,A PIE
ZONA CENTRO,A PIE
PLAZOLETA LA VILLA,A PIE
LOS NARANJOS,VEHICULO
VILLAVICENCIO,A PIE
SECTOR AV 30 AGO ENTRE CL 37 Y 41,A PIE
SECTOR COMERCIAL,A PIE
SANTA ISABEL,A PIE
LA ESPERANZA,MOTOCICLETA
JARDINES DE COAVICONSA,A PIE
NUEVO SOTOMAYOR,MOTOCICLETA
SAN RAFAEL,MOTOCICLETA
SAN FRANCISCO,TRANSPORTE PUBLICO
KENNEDY,A PIE
LA PAZ E2,A PIE
BUCARAMANGA,MOTOCICLETA
LAGOS I,A PIE
HACIENDA SAN JUAN,A PIE
CONVIVIR,A PIE
CENTRO P/TA,A PIE
EL PROGRESO,MOTOCICLETA
ESPANHA,MOTOCICLETA
HACIENDA PIEDRAPINTADA,MOTOCICLETA
EL CARMEN,MOTOCICLETA
ESTACION,A PIE
CADIZ,A PIE
TOLIMA GRANDE,A PIE
JORDAN MUTIFAMILIARES,A PIE
SANTA RITA,MOTOCICLETA
CENTRO,MOTOCICLETA
VERSALLES E2,MOTOCICLETA
CIUDAD CAPRI E17,A PIE
LOS LAGOS E13,A PIE
PRADOS DEL NORTE E2,A PIE
CGTO LA VORAGINE E22,A PIE
PRADOS DEL NORTE E2,A PIE
LOS LAGOS E13,A PIE
VALLE GRANDE E21,MOTOCICLETA
VILLA DEL LAGO E13,A PIE
ALTAMIRA,MOTOCICLETA
CENTRAL,MOTOCICLETA
LAS FLORES,MOTOCICLETA
CAMILO CORTEZ,A PIE
MARCELIANO CANYES,A PIE
EL CAUNZAL,A PIE
MANZANAREZ,A PIE
CIUDADELA DEL NORTE,A PIE
CIUDADELA DEL NORTE,MOTOCICLETA
CIUDADELA DEL NORTE,MOTOCICLETA
BRISAS DE URABA,A PIE
LA MINA,A PIE
SAN JOSE,A PIE
CENTRO,A PIE
TRIANA,A PIE
SANTA MARIA # 3,A PIE
EL DORADO,A PIE
SEVILLA  C-4,MOTOCICLETA
LAURELES C-11,A PIE
JARDIN BOTANICO  C-4,MOTOCICLETA
LOS CERROS EL VERGEL  C-9,MOTOCICLETA
ASTORGA C-14,A PIE
LA FRANCIA  C-2,A PIE
PRADO C-10,A PIE
VILLANUEVA C-10,A PIE
LOS PINOS C-12,MOTOCICLETA
ESTACION VILLA C-10,A PIE
CORDOBA C-7,TRANSPORTE PUBLICO
VILLANUEVA C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
EL POBLADO C-14,A PIE
ROSALES C-16,A PIE
DON BOSCO,A PIE
SAN ROQUE,A PIE
EL RECREO,MOTOCICLETA
CENTRO,A PIE
SILENCIO,MOTOCICLETA
CENTRO,A PIE
REBOLO,A PIE
CIUDADELA 20 DE JULIO,A PIE
BARRIO BOYACA ALTO,A PIE
SANTANDER,A PIE
BARRIO CENTRO,A PIE
SEVILLA,BICICLETA
VILLA UNIVERSITARIA,A PIE
CENTRO,A PIE
VDA PURNIO,A PIE
SECTOR EL CABLE,MOTOCICLETA
SECTOR EL CABLE,A PIE
CENTRO,A PIE
SECTOR BELLAS ARTES,A PIE
CENTRO,A PIE
SECTOR EL CABLE,A PIE
CENTRO,A PIE
CENTRO,A PIE
SECTOR EL CABLE,A PIE
SECTOR EL CABLE,A PIE
EL RAICERO,MOTOCICLETA
VILLAMONICA,A PIE
EL CENTRO,A PIE
VILLA MARIA,MOTOCICLETA
LUIS MARIA JIMENEZ,A PIE
HOBO,A PIE
LOS ALMENDROS,A PIE
LOS ALMENDROS,A PIE
URBANIZACION PERPETUO SOCORRO,A PIE
VEREDA,A PIE
GALAN,MOTOCICLETA
URB. LA RIVIERA,A PIE
CHUCHURUBI,MOTOCICLETA
SIMON BOLIVAR,A PIE
LA ESTRADA E-10,A PIE
LOS CEDRITOS E-1,A PIE
LA CAPUCHINA E-3,A PIE
RESTREPO E-15,MOTOCICLETA
LA GIRALDA E-9,A PIE
LAGO GAITAN E-2,A PIE
LAS DELICIAS   E-8,BICICLETA
NIZA XII E-11,A PIE
SANTA MATILDE I SECTOR E-16,A PIE
SAMPER E-3,A PIE
BOSQUE CALDERON E-2,A PIE
POLO CLUB E-12,A PIE
SANTA ISABEL E-14,A PIE
PATIO BONITO I E-8,TRANSPORTE PUBLICO
SAN ANTONIO E-15,TRANSPORTE PUBLICO
CHICO I E-2,TRANSPORTE PUBLICO
EL CENTENARIO E-18,A PIE
TINTAL    E-8,A PIE
VILLA DEL RINCON E-11,A PIE
CENTRO ANTONIO NARINHO E-13,A PIE
VENECIA E-6,MOTOCICLETA
QUIROGA IHS ETAPA E-18,A PIE
CHAPINERO CENTRAL E-2,MOTOCICLETA
URB. MANUELA BELTRAN E-19,A PIE
URB. LA PUERTA DEL SOL E-11,MOTOCICLETA
CHICO I E-2,A PIE
MARIA PAZ E-8,A PIE
CHICO NAVARRA E-1,A PIE
URB. CLARET EL CARMEN E-6,A PIE
MARIA PAZ E-8,A PIE
LAS MARGARITAS E-8,TRANSPORTE PUBLICO
QUIROGA VII ETAPA E-18,A PIE
GALAN,A PIE
CENTRO,A PIE
BARRIO LA ESPERANZA,A PIE
URBANIZACION EL TESORO,A PIE
URBANIZACION EL TESORO,A PIE
SAN FRANCISCO DE ASIS,A PIE
SAN FRANCISCO DE ASIS,A PIE
