BARRIO,ARMA
SAN ANTONIO E-15,ARMA BLANCA / CORTOPUNZANTE
EL RINCON E-11,CONTUNDENTES
LOS CEDRITOS E-1,ARMA BLANCA / CORTOPUNZANTE
VILLA MAYOR E-15,SIN EMPLEO DE ARMAS
CENTRO,ARMA DE FUEGO
31 DE OCTUBRE,ARMA DE FUEGO
31 DE OCTUBRE,ARMA DE FUEGO
EL CENTRO,SIN EMPLEO DE ARMAS
QUIRINAL,ARMA BLANCA / CORTOPUNZANTE
LAS  MERCEDES,ARMA DE FUEGO
CENTRO,ARMA BLANCA / CORTOPUNZANTE
VEREDA MATEO RICO,CONTUNDENTES
CENTRO HISTORICO,SIN EMPLEO DE ARMAS
CENTRO HISTORICO,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
MONTECARLO,SIN EMPLEO DE ARMAS
BRISAS DEL GUATIQUIA,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
LA ESPERANZA,SIN EMPLEO DE ARMAS
VILLA MELIDA,ARMA BLANCA / CORTOPUNZANTE
CANAAN,CONTUNDENTES
LA ESMERALDA,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,CONTUNDENTES
PIAMONTE,ARMA DE FUEGO
CENTRO,ESCOPOLAMINA
CENTRO,SIN EMPLEO DE ARMAS
MONTECARLO,ARMA DE FUEGO
GAVIOTAS,CONTUNDENTES
CENTRO,ARMA BLANCA / CORTOPUNZANTE
VEREDA APIAY,ARMA DE FUEGO
20 DE JULIO,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
SAN FELIPE,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
20 DE JULIO,ARMA BLANCA / CORTOPUNZANTE
20 DE JULIO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
OBRERO,SIN EMPLEO DE ARMAS
SANTANDER,SIN EMPLEO DE ARMAS
CENTRO,CONTUNDENTES
EMILIO BOTERO,SIN EMPLEO DE ARMAS
SAN ANDRES,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
PANORAMICO I ETAPA,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
BARRIO CALLEJON,SIN EMPLEO DE ARMAS
BARRIO BELLAVISTA,ARMA BLANCA / CORTOPUNZANTE
SUBESTACION SAN JUAN DE VILLALOBOS,SIN EMPLEO DE ARMAS
EL CENTRO,CONTUNDENTES
NUEVA ARMENIA,ARMA BLANCA / CORTOPUNZANTE
ACACIAS,ARMA BLANCA / CORTOPUNZANTE
BOSQUES DE PINARES,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
BUENOS AIRES,SIN EMPLEO DE ARMAS
SAGUANES,ARMA DE FUEGO
SAN DIEGO,ARMA DE FUEGO
BAYRON GAVIRIA,ARMA BLANCA / CORTOPUNZANTE
TURIN,ARMA BLANCA / CORTOPUNZANTE
VDA. EL MANZANO,SIN EMPLEO DE ARMAS
SANTA TERESITA,ARMA BLANCA / CORTOPUNZANTE
SECTOR PARQUE EL LAGO,SIN EMPLEO DE ARMAS
ALFONSO LOPEZ,CONTUNDENTES
B. SAN FRANCISCO,SIN EMPLEO DE ARMAS
GALAN GOMEZ,ARMA BLANCA / CORTOPUNZANTE
NARINHO,CONTUNDENTES
NARINHO,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
CLAVERIANO,ARMA BLANCA / CORTOPUNZANTE
RONDON,ARMA BLANCA / CORTOPUNZANTE
ASOBETANIA,ARMA BLANCA / CORTOPUNZANTE
VILLA ANGELICA,ARMA BLANCA / CORTOPUNZANTE
KENEDY,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
JARDIN II ETAPA,SIN EMPLEO DE ARMAS
JORDAN MUTIFAMILIARES,ARMA DE FUEGO
ONZAGA,CONTUNDENTES
LA MANSION,SIN EMPLEO DE ARMAS
KENEDY,SIN EMPLEO DE ARMAS
MACARENA ALTA,ARMA BLANCA / CORTOPUNZANTE
EL JORDAN,SIN EMPLEO DE ARMAS
LOS LAGOS E13,ARMA BLANCA / CORTOPUNZANTE
MORICHAL DE COMFANDI E15,ARMA DE FUEGO
SAN LUIS E6,SIN EMPLEO DE ARMAS
CRISTOBAL COLON E10,ARMA DE FUEGO
PARCELACIONES PANCE E22,SIN EMPLEO DE ARMAS
ALAMEDA E9,SIN EMPLEO DE ARMAS
PARCELACIONES PANCE E22,SIN EMPLEO DE ARMAS
ALFONSO BARBERENA E12,ARMA BLANCA / CORTOPUNZANTE
EL INGENIO E17,ARMA DE FUEGO
ALFONSO B. ARAGON E14,ARMA DE FUEGO
SAN FERNANDO VIEJO E19,ARMA DE FUEGO
EL SENA E5,ARMA DE FUEGO
PARCELACIONES PANCE E22,ARMA DE FUEGO
PRIMERO DE MAYO E17,ARMA DE FUEGO
PANAMERICANO (23-2),SIN EMPLEO DE ARMAS
VIA CENCAR - AEREOPUERTO,ARMA DE FUEGO
FRANCISCANOS,ARMA DE FUEGO
LAS DELICIAS,ARMA BLANCA / CORTOPUNZANTE
VIA YUMBO DAPA (25-8),SIN EMPLEO DE ARMAS
VIA YUMBO DAPA (25-8),SIN EMPLEO DE ARMAS
BELALCAZAR E25,SIN EMPLEO DE ARMAS
SIMON BOLIVAR,ARMA DE FUEGO
