ZONA MINERA,COLOMBIA
JULIO FIGUEROA VILLA,COLOMBIA
VEREDA SANTA ANA,COLOMBIA
LAS AGUAS E-17,AMERICASUR
URB. PALENQUE E-8,COLOMBIA
TEUSAQUILLO E-13,COLOMBIA
VILLA NELLY E-8,COLOMBIA
GALERIAS E-13,COLOMBIA
LA MACARENA E-3,COLOMBIA
PASADENA ROYAL E-11,COLOMBIA
LA CASTELLANA E-12,COLOMBIA
LA CASTELLANA E-12,COLOMBIA
CIUDAD JARDIN SUR E-15,COLOMBIA
BILBAO E-11,COLOMBIA
ESTADOS UNIDOS   E-8,COLOMBIA
IBERIA E-11,COLOMBIA
CHICO NORTE I E-2,COLOMBIA
SUBA CENTRO E-11,COLOMBIA
GUSTAVO RESTREPO E-18,COLOMBIA
EL PLAYON - LA PLAYITA III E-18,COLOMBIA
ENTRERIOS E-12,COLOMBIA
QUIRIGUA I E-10,COLOMBIA
"LA SOLEDAD, SAN JOSE NORTE E-10",COLOMBIA
BOSQUES DE SAN JOSE E-18,COLOMBIA
VILLA CLEMENCIA E-7,COLOMBIA
EL RECREO E-7,COLOMBIA
LAS MARGARITAS E-7,COLOMBIA
CENTRO,COLOMBIA
CENTRO,COLOMBIA
EL CARMEN,COLOMBIA
EL CARMEN,COLOMBIA
LA VICTORIA,COLOMBIA
RAFAEL AZUERO MANCHOLA,COLOMBIA
LUIS CARLOS GALAN ETAPA I,COLOMBIA
ENRIQUE OLAYA HERRERA,COLOMBIA
VILLA MELIDA,COLOMBIA
RELIQUIA,COLOMBIA
BARZAL BAJO,COLOMBIA
DONHA LUZ,COLOMBIA
REMANSO,COLOMBIA
VILLA JULIA,COLOMBIA
LLANO LINDO,COLOMBIA
JORDAN,COLOMBIA
ESTERO,COLOMBIA
CAMINO REAL,COLOMBIA
MACUNAIMA,COLOMBIA
COMUNEROS,COLOMBIA
ESTERO,COLOMBIA
SANTANDER,COLOMBIA
CENTRO,COLOMBIA
GOLGOTA,COLOMBIA
OBRERO,COLOMBIA
20 DE JULIO,COLOMBIA
LORENZO,COLOMBIA
LORENZO,COLOMBIA
MORASURCO,COLOMBIA
SAN JUAN BOSCO,COLOMBIA
CENTRO,COLOMBIA
CENTRO,COLOMBIA
CENTRO,COLOMBIA
AV. CHAMPAGNAT,COLOMBIA
CENTRO,COLOMBIA
NIZA III,COLOMBIA
ESTADIO LIBERTAD,COLOMBIA
LORENZO,COLOMBIA
PLAZA DEL CARNAVAL,COLOMBIA
CENTRO,COLOMBIA
CENTRO,COLOMBIA
CENTRO,COLOMBIA
EL MORRO,COLOMBIA
SAN JUAN,COLOMBIA
BARRIO LOS PINOS,COLOMBIA
BARRIO LA PLAYA,COLOMBIA
BARRIO SAN JOSE,COLOMBIA
BARRIO LA LIBERTAD,COLOMBIA
BARRIO SIMON BOLIVAR,COLOMBIA
BARRIO CENTRO,COLOMBIA
PABLO VI,COLOMBIA
CENTRO,COLOMBIA
CIUDADELA UNIVERSITARIA,COLOMBIA
PERPETUO SOCORRO,COLOMBIA
SAN FERNANDO,COLOMBIA
MIRAFLORES BAJO,COLOMBIA
