BARRIO,EDAD
PANORAMICO I ETAPA,ADULTO
CENTRO,ANCIANO
BARRIO CALLEJON,ADULTOJOVEN
BARRIO BELLAVISTA,ADULTOJOVEN
SUBESTACION SAN JUAN DE VILLALOBOS,ADULTOJOVEN
EL CENTRO,ADULTOJOVEN
NUEVA ARMENIA,ADULTOMAYOR
ACACIAS,ADULTOMAYOR
BOSQUES DE PINARES,ADULTOJOVEN
CENTRO,ANCIANO
BUENOS AIRES,ADULTOMAYOR
SAGUANES,ADULTOJOVEN
SAN DIEGO,ADULTOJOVEN
BAYRON GAVIRIA,ADULTOJOVEN
TURIN,ADULTO
VDA. EL MANZANO,ANCIANO
SANTA TERESITA,ADULTOJOVEN
SECTOR PARQUE EL LAGO,ADULTOJOVEN
ALFONSO LOPEZ,ADULTOJOVEN
B. SAN FRANCISCO,ADULTOJOVEN
GALAN GOMEZ,ADULTOMAYOR
NARINHO,ADULTOJOVEN
NARINHO,ADULTOJOVEN
CENTRO,ADULTOJOVEN
CLAVERIANO,ADULTOJOVEN
RONDON,ADULTO
ASOBETANIA,ADULTOJOVEN
VILLA ANGELICA,ADULTO
KENEDY,ADULTOJOVEN
CENTRO,ADULTO
JARDIN II ETAPA,ADULTOMAYOR
JORDAN MUTIFAMILIARES,ADULTO
ONZAGA,ADULTOJOVEN
LA MANSION,ADULTOMAYOR
KENEDY,ADULTOJOVEN
MACARENA ALTA,ADULTO
EL JORDAN,ADULTO
LOS LAGOS E13,ADULTOJOVEN
MORICHAL DE COMFANDI E15,ADULTO
SAN LUIS E6,ANCIANO
CRISTOBAL COLON E10,ADULTOMAYOR
PARCELACIONES PANCE E22,ADULTOJOVEN
ALAMEDA E9,ADULTOJOVEN
PARCELACIONES PANCE E22,ADULTOJOVEN
ALFONSO BARBERENA E12,ADULTOJOVEN
EL INGENIO E17,ADULTOJOVEN
ALFONSO B. ARAGON E14,ADULTOJOVEN
SAN FERNANDO VIEJO E19,ADULTO
EL SENA E5,ADULTO
PARCELACIONES PANCE E22,ADULTO
PRIMERO DE MAYO E17,ADULTOMAYOR
PANAMERICANO (23-2),ADOLESCENTE
VIA CENCAR - AEREOPUERTO,ADULTO
FRANCISCANOS,ADULTOMAYOR
LAS DELICIAS,ADULTOJOVEN
VIA YUMBO DAPA (25-8),ADULTOMAYOR
VIA YUMBO DAPA (25-8),ADULTOMAYOR
BELALCAZAR E25,ADULTOJOVEN
SIMON BOLIVAR,ADULTO
CENTRO (LETICIA),ADULTO
PARQUE PRINCIPAL,ADULTO
LA MADERA,ADULTO
SANTA MARIA # 3,ADULTOMAYOR
LA CIUDADELA,ADULTOJOVEN
LA CIUDADELA,ADULTOJOVEN
CAMPO VALDES 1  C-4,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
ARANJUEZ  C-4,ADULTOJOVEN
BARRIO COLOMBIA C-14,ADULTOJOVEN
CERRO EL VOLADOR C-7,ADULTO
ENCISO C-8,ADULTOJOVEN
PROGRESO 2 C-6,ADULTOMAYOR
VILLANUEVA C-10,ADULTOMAYOR
PRADO C-10,ADULTOJOVEN
SEVILLA  C-4,ADULTOJOVEN
EL DIAMANTE C-7,ADULTO
LA PINHUELA  C-4,ADULTOJOVEN
EL TESORO C-14,ADULTOMAYOR
CONQUISTADORES C-11,ADULTO
LAURELES C-11,ADULTOMAYOR
PRADO C-10,ADULTOJOVEN
LA CASTELLANA C-11,ADULTO
LA CANDELARIA C-10,ADULTO
MANILA C-14,ADULTO
NARANJAL C-11,ADULTOJOVEN
PRADO C-10,ADULTO
SEVILLA  C-4,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
BOMBONA 1 C-10,ADULTO
SEVILLA  C-4,ADULTOJOVEN
REMANSOS,ADULTOMAYOR
TABLAZO,ADULTOMAYOR
TABLAZO,ADULTOMAYOR
LAS CABANHAS,ADOLESCENTE
EL ROSARIO,ADOLESCENTE
LA VICTORIA,ADULTOJOVEN
CENTRO,ADULTO
7 DE ABRIL,ADULTOJOVEN
CENTRO,ADOLESCENTE
VDA. RESGUARDO,ADULTO
