MUNICIPIO,SEXO
SAN CAYETANO,MASCULINO
MOCOA (CT),FEMENINO
MOCOA (CT),FEMENINO
MOCOA (CT),FEMENINO
SANTIAGO,MASCULINO
ARMENIA (CT),MASCULINO
ARMENIA (CT),MASCULINO
CALARCA,FEMENINO
CALARCA,MASCULINO
DOSQUEBRADAS,MASCULINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
BARRANCABERMEJA,MASCULINO
BARRANCABERMEJA,FEMENINO
BARRANCABERMEJA,MASCULINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
CALI (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
FLORIDABLANCA,FEMENINO
FLORIDABLANCA,MASCULINO
GIRON,FEMENINO
PIEDECUESTA,FEMENINO
SANTIAGO DE TOLU,FEMENINO
SINCELEJO (CT),MASCULINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),FEMENINO
MELGAR,MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
PALMIRA,FEMENINO
PALMIRA,FEMENINO
PALMIRA,FEMENINO
PUERTO CARRENHO (CT),FEMENINO
LETICIA (CT),FEMENINO
ABEJORRAL,MASCULINO
APARTADO,FEMENINO
BELLO,FEMENINO
BELLO,FEMENINO
BELLO,FEMENINO
CHIGORODO,FEMENINO
ENVIGADO,MASCULINO
ENVIGADO,FEMENINO
ITAGUI,FEMENINO
ITAGUI,FEMENINO
ITAGUI,FEMENINO
LA ESTRELLA,FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
