MUNICIPIO,BARRIO
MEDELLIN (CT),CERRO EL VOLADOR C-7
MEDELLIN (CT),ENCISO C-8
MEDELLIN (CT),PROGRESO 2 C-6
MEDELLIN (CT),VILLANUEVA C-10
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),SEVILLA  C-4
MEDELLIN (CT),EL DIAMANTE C-7
MEDELLIN (CT),LA PINHUELA  C-4
MEDELLIN (CT),EL TESORO C-14
MEDELLIN (CT),CONQUISTADORES C-11
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),LA CASTELLANA C-11
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),MANILA C-14
MEDELLIN (CT),NARANJAL C-11
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),SEVILLA  C-4
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),BOMBONA 1 C-10
MEDELLIN (CT),SEVILLA  C-4
RIONEGRO,REMANSOS
RIONEGRO,TABLAZO
RIONEGRO,TABLAZO
ARAUCA (CT),LAS CABANHAS
BARRANQUILLA (CT),EL ROSARIO
BARRANQUILLA (CT),LA VICTORIA
BARRANQUILLA (CT),CENTRO
BARRANQUILLA (CT),7 DE ABRIL
SOGAMOSO,CENTRO
TIBASOSA,VDA. RESGUARDO
MANIZALES (CT),PLAZA DE TOROS
MANIZALES (CT),ONDAS DE OTUN
MANIZALES (CT),FUNDADORES
MANIZALES (CT),ARBOLEDA
MANIZALES (CT),CENTRO
MANIZALES (CT),SECTOR EL CABLE
FLORENCIA (CT),EL PORVENIR
FLORENCIA (CT),LA VEGA
FLORENCIA (CT),RICAURTE
FLORENCIA (CT),TORASSO
FLORENCIA (CT),TORASSO
SANTANDER DE QUILICHAO,CENTRO
AGUACHICA,OLAYA HERRERA
VALLEDUPAR (CT),EL CARMEN
VALLEDUPAR (CT),FERIA GANADERA
QUIBDO (CT),ZONA MINERA
QUIBDO (CT),JULIO FIGUEROA VILLA
TIERRALTA,VEREDA SANTA ANA
BOGOTA D.C. (CT),LAS AGUAS E-17
BOGOTA D.C. (CT),URB. PALENQUE E-8
BOGOTA D.C. (CT),TEUSAQUILLO E-13
BOGOTA D.C. (CT),VILLA NELLY E-8
BOGOTA D.C. (CT),GALERIAS E-13
BOGOTA D.C. (CT),LA MACARENA E-3
BOGOTA D.C. (CT),PASADENA ROYAL E-11
BOGOTA D.C. (CT),LA CASTELLANA E-12
BOGOTA D.C. (CT),LA CASTELLANA E-12
BOGOTA D.C. (CT),CIUDAD JARDIN SUR E-15
BOGOTA D.C. (CT),BILBAO E-11
BOGOTA D.C. (CT),ESTADOS UNIDOS   E-8
BOGOTA D.C. (CT),IBERIA E-11
BOGOTA D.C. (CT),CHICO NORTE I E-2
BOGOTA D.C. (CT),SUBA CENTRO E-11
BOGOTA D.C. (CT),GUSTAVO RESTREPO E-18
BOGOTA D.C. (CT),EL PLAYON - LA PLAYITA III E-18
BOGOTA D.C. (CT),ENTRERIOS E-12
BOGOTA D.C. (CT),QUIRIGUA I E-10
BOGOTA D.C. (CT),"LA SOLEDAD, SAN JOSE NORTE E-10"
BOGOTA D.C. (CT),BOSQUES DE SAN JOSE E-18
BOGOTA D.C. (CT),VILLA CLEMENCIA E-7
BOGOTA D.C. (CT),EL RECREO E-7
BOGOTA D.C. (CT),LAS MARGARITAS E-7
NILO,CENTRO
MAICAO,CENTRO
MAICAO,EL CARMEN
MAICAO,EL CARMEN
MAICAO,LA VICTORIA
NEIVA (CT),RAFAEL AZUERO MANCHOLA
NEIVA (CT),LUIS CARLOS GALAN ETAPA I
NEIVA (CT),ENRIQUE OLAYA HERRERA
VILLAVICENCIO (CT),VILLA MELIDA
