MUNICIPIO,DIA
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
BARRANQUILLA (CT),JUEVES
BARRANQUILLA (CT),JUEVES
BARRANQUILLA (CT),JUEVES
BARRANQUILLA (CT),JUEVES
BARRANQUILLA (CT),JUEVES
BARRANQUILLA (CT),JUEVES
BARRANQUILLA (CT),JUEVES
BARRANQUILLA (CT),JUEVES
CHIQUINQUIRA,JUEVES
DUITAMA,JUEVES
DUITAMA,JUEVES
DUITAMA,JUEVES
TUNJA (CT),JUEVES
TUNJA (CT),JUEVES
LA DORADA,JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
MANIZALES (CT),JUEVES
FLORENCIA (CT),JUEVES
FLORENCIA (CT),JUEVES
FLORENCIA (CT),JUEVES
FLORENCIA (CT),JUEVES
AGUAZUL,JUEVES
YOPAL (CT),JUEVES
YOPAL (CT),JUEVES
YOPAL (CT),JUEVES
POPAYAN (CT),JUEVES
BECERRIL,JUEVES
VALLEDUPAR (CT),JUEVES
VALLEDUPAR (CT),JUEVES
MONTERIA (CT),JUEVES
AGUA DE DIOS,JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
BOGOTA D.C. (CT),JUEVES
FUSAGASUGA,JUEVES
SOACHA,JUEVES
SAN JOSE DEL GUAVIARE (CT),JUEVES
NEIVA (CT),JUEVES
NEIVA (CT),JUEVES
NEIVA (CT),JUEVES
NEIVA (CT),JUEVES
NEIVA (CT),JUEVES
PITALITO,JUEVES
PITALITO,JUEVES
SANTA MARTA (CT),JUEVES
SANTA MARTA (CT),JUEVES
SANTA MARTA (CT),JUEVES
SANTA MARTA (CT),JUEVES
PUERTO LOPEZ,JUEVES
VILLAVICENCIO (CT),JUEVES
VILLAVICENCIO (CT),JUEVES
VILLAVICENCIO (CT),JUEVES
VILLAVICENCIO (CT),JUEVES
VILLAVICENCIO (CT),JUEVES
VILLAVICENCIO (CT),JUEVES
VILLAVICENCIO (CT),JUEVES
VILLAVICENCIO (CT),JUEVES
IPIALES,JUEVES
IPIALES,JUEVES
IPIALES,JUEVES
IPIALES,JUEVES
IPIALES,JUEVES
IPIALES,JUEVES
IPIALES,JUEVES
IPIALES,JUEVES
PASTO (CT),JUEVES
PASTO (CT),JUEVES
PASTO (CT),JUEVES
PASTO (CT),JUEVES
PASTO (CT),JUEVES
CUCUTA (CT),JUEVES
CUCUTA (CT),JUEVES
CUCUTA (CT),JUEVES
CUCUTA (CT),JUEVES
LOS PATIOS,JUEVES
OCANHA,JUEVES
OCANHA,JUEVES
MOCOA (CT),JUEVES
ARMENIA (CT),JUEVES
CALARCA,JUEVES
PEREIRA (CT),JUEVES
PEREIRA (CT),JUEVES
PEREIRA (CT),JUEVES
PEREIRA (CT),JUEVES
PEREIRA (CT),JUEVES
PEREIRA (CT),JUEVES
PEREIRA (CT),JUEVES
SANTA ROSA DE CABAL,JUEVES
SANTA ROSA DE CABAL,JUEVES
BARRANCABERMEJA,JUEVES
BARRANCABERMEJA,JUEVES
BARRANCABERMEJA,JUEVES
BUCARAMANGA (CT),JUEVES
BUCARAMANGA (CT),JUEVES
BUCARAMANGA (CT),JUEVES
BUCARAMANGA (CT),JUEVES
BUCARAMANGA (CT),JUEVES
BUCARAMANGA (CT),JUEVES
BUCARAMANGA (CT),JUEVES
FLORIDABLANCA,JUEVES
FLORIDABLANCA,JUEVES
